CODGEO;LIBGEO;DATE_ARRETE;NB__voiture_rechargeable;NB_Voiture;Population_totale;Superficie;M�diane_niveau_vie;Pop_15_64_ans;Nombre_borne;Puissance
69001;AFFOUX;31/03/2025;16;432;395;10,65;24970;267;#N/A;#N/A
69002;AIGUEPERSE;31/03/2025;1;287;243;12,95;21290;144;#N/A;#N/A
69003;ALBIGNY-SUR-SAÔNE;31/03/2025;98;2869;2991;2,57;27080;1690;2;7,36
69004;ALIX;31/03/2025;32;701;766;3,61;26980;404;#N/A;#N/A
69005;AMBÉRIEUX;31/03/2025;38;773;607;4,55;25550;406;3;57,33333333
69006;AMPLEPUIS;31/03/2025;100;5029;4840;38,44;21120;2741;6;25
69007;AMPUIS;31/03/2025;126;3004;2751;15,57;26440;1702;2;22
69008;ANCY;31/03/2025;21;678;677;11,84;25170;385;#N/A;#N/A
69009;ANSE;31/03/2025;295;7583;7947;15,23;24690;4893;3;22
69010;L'ARBRESLE;31/03/2025;184;6796;6453;3,36;23450;4084;18;48,816
69012;LES ARDILLATS;31/03/2025;13;693;603;23,1;24030;385;#N/A;#N/A
69013;ARNAS;31/03/2025;240;4952;4215;17,52;24910;2512;17;22,81
69014;AVEIZE;31/03/2025;25;1100;1115;16,64;22620;656;#N/A;#N/A
69016;AZOLETTE;31/03/2025;3;168;122;4,18;23200;67;#N/A;#N/A
69017;BAGNOLS;31/03/2025;25;869;752;7,35;26690;442;#N/A;#N/A
69018;BEAUJEU;31/03/2025;48;2342;2123;17,85;21680;1209;#N/A;#N/A
69019;BELLEVILLE-EN-BEAUJOLAIS;31/03/2025;381;13336;13542;22,86;22210;8403;11;73,5
69020;BELMONT-D'AZERGUES;31/03/2025;26;733;705;1,51;29010;440;#N/A;#N/A
69021;BESSENAY;31/03/2025;51;2568;2348;14,01;24500;1391;#N/A;#N/A
69022;BIBOST;31/03/2025;15;621;542;5,23;24520;339;#N/A;#N/A
69023;BLACÉ;31/03/2025;54;1625;1669;11;27320;981;2;7,4
69024;VAL D'OINGT;31/03/2025;139;4308;4155;18,1;26650;2434;8;14,7
69026;LE BREUIL;31/03/2025;27;507;535;5,63;26280;337;#N/A;#N/A
69027;BRIGNAIS;31/03/2025;796;15465;12388;10,36;26720;7439;46;56,21
69028;BRINDAS;31/03/2025;300;6703;6661;11,27;29700;4203;6;23
69029;BRON;31/03/2025;863;38093;43049;10,3;21950;27112;130;61,29328947
69030;BRULLIOLES;31/03/2025;14;958;826;12,25;24700;511;#N/A;#N/A
69031;BRUSSIEU;31/03/2025;54;1426;1376;6,74;25730;878;#N/A;#N/A
69032;BULLY;31/03/2025;78;2333;2076;12,59;27450;1251;#N/A;#N/A
69033;CAILLOUX-SUR-FONTAINES;31/03/2025;193;2836;2937;8,69;34010;1877;4;5
69034;CALUIRE-ET-CUIRE;31/03/2025;1306;38482;43572;10,45;27370;26169;16;18,912
69035;CENVES;31/03/2025;22;514;376;26,48;24870;242;#N/A;#N/A
69036;CERCIÉ;31/03/2025;34;1122;1138;4,94;24520;717;#N/A;#N/A
69037;CHAMBOST-ALLIÈRES;31/03/2025;28;1061;831;14,14;23330;525;#N/A;#N/A
69038;CHAMBOST-LONGESSAIGNE;31/03/2025;18;1079;919;15,44;21860;555;#N/A;#N/A
69039;CHAMELET;31/03/2025;20;871;700;14,43;24090;431;#N/A;#N/A
69040;CHAMPAGNE-AU-MONT-D'OR;31/03/2025;486;8025;5936;2,59;27100;3588;38;51,8912
69042;LA CHAPELLE-SUR-COISE;31/03/2025;20;590;568;6,58;25080;368;#N/A;#N/A
69043;CHAPONOST;31/03/2025;577;9630;9052;16,32;31090;5264;70;23,33333333
69044;CHARBONNIÈRES-LES-BAINS;31/03/2025;432;5915;5311;4,13;36390;3112;26;38,068
69045;CHARENTAY;31/03/2025;28;1353;1265;13,78;26070;805;#N/A;#N/A
69046;CHARLY;31/03/2025;270;4846;4606;5,09;33860;2713;2;7,36
69047;CHARNAY;31/03/2025;54;1051;1039;7,06;32860;543;#N/A;#N/A
69049;CHASSELAY;31/03/2025;155;3066;2828;12,78;32350;1589;4;23
69050;CHÂTILLON;31/03/2025;100;2475;2115;10,71;28030;1284;#N/A;#N/A
69051;CHAUSSAN;31/03/2025;41;1273;1208;7,89;27050;767;#N/A;#N/A
69052;CHAZAY-D'AZERGUES;31/03/2025;210;4562;4164;5,94;31020;2476;#N/A;#N/A
69053;CHÉNAS;31/03/2025;9;592;538;8,18;25220;335;#N/A;#N/A
69054;CHÉNELETTE;31/03/2025;13;515;361;11,02;24480;223;#N/A;#N/A
69055;LES CHÈRES;31/03/2025;81;1718;1506;5,46;27560;915;6;128
69056;CHESSY;31/03/2025;97;2028;2069;4,55;27050;1283;#N/A;#N/A
69057;CHEVINAY;31/03/2025;21;639;587;8,82;26530;356;#N/A;#N/A
69058;CHIROUBLES;31/03/2025;10;454;398;7,32;23730;245;#N/A;#N/A
69059;CIVRIEUX-D'AZERGUES;31/03/2025;103;1957;1591;5,02;28930;1004;3;150
69060;CLAVEISOLLES;31/03/2025;8;695;564;28,33;21860;345;#N/A;#N/A
69061;COGNY;31/03/2025;45;1315;1204;5,83;28860;718;#N/A;#N/A
69062;COISE;31/03/2025;18;838;791;9,03;22830;496;#N/A;#N/A
69063;COLLONGES-AU-MONT-D'OR;31/03/2025;306;4356;4517;3,78;35240;2711;2;7,36
69064;CONDRIEU;31/03/2025;101;4108;3933;9,21;23490;2235;10;31,38666667
69065;CORCELLES-EN-BEAUJOLAIS;31/03/2025;27;1040;984;9,3;25170;595;#N/A;#N/A
69066;COURS;31/03/2025;96;4970;4352;33,81;21050;2338;3;22,08
69067;COURZIEU;31/03/2025;33;1443;1172;27,04;22530;736;#N/A;#N/A
69068;COUZON-AU-MONT-D'OR;31/03/2025;98;2468;2452;3,11;28290;1496;2;7,36
69069;CRAPONNE;31/03/2025;470;10526;11903;4,62;27380;7200;4;14
69070;CUBLIZE;31/03/2025;46;1431;1327;15,56;22890;790;#N/A;#N/A
69071;CURIS-AU-MONT-D'OR;31/03/2025;62;1102;1179;3,03;33160;758;2;7,36
69072;DARDILLY;31/03/2025;939;11414;8828;13,99;32510;5400;63;112,3529412
69074;DENICÉ;31/03/2025;63;1683;1564;9,53;28360;968;#N/A;#N/A
69075;DIÈME;31/03/2025;3;228;194;9,05;23960;114;#N/A;#N/A
69076;DOMMARTIN;31/03/2025;204;2889;2519;7,22;34020;1529;#N/A;#N/A
69077;DRACÉ;31/03/2025;27;1193;1106;14,87;24320;685;40;218,6
69078;DUERNE;31/03/2025;20;918;840;11,41;24160;519;#N/A;#N/A
69080;ÉCHALAS;31/03/2025;83;1974;1927;20,95;26910;1153;8;22
69081;ÉCULLY;31/03/2025;958;17751;18361;8,45;29600;10956;55;35,56
69082;ÉMERINGES;31/03/2025;9;292;281;3,01;25840;175;#N/A;#N/A
69083;ÉVEUX;31/03/2025;49;1095;1169;3,32;30290;742;#N/A;#N/A
69084;FLEURIE;31/03/2025;32;1495;1320;13,94;24350;797;3;12
69085;FLEURIEU-SUR-SAÔNE;31/03/2025;82;1573;1501;2,91;31110;997;10;65,872
69086;FLEURIEUX-SUR-L'ARBRESLE;31/03/2025;128;2708;2287;9,51;29780;1400;#N/A;#N/A
69087;FONTAINES-SAINT-MARTIN;31/03/2025;180;3131;3043;2,74;34190;1786;2;7,36
69088;FONTAINES-SUR-SAÔNE;31/03/2025;179;6520;7047;2,32;25230;4212;6;27,13333333
69089;FRANCHEVILLE;31/03/2025;577;13250;15204;8,18;28120;9234;39;37,62285714
69090;FRONTENAS;31/03/2025;36;1013;873;3,42;27540;486;#N/A;#N/A
69091;GIVORS;31/03/2025;387;21631;20654;17,34;18160;12360;72;43,54153846
69092;GLEIZÉ;31/03/2025;276;8623;7614;10,46;23660;4328;22;17,25
69093;GRANDRIS;31/03/2025;17;1321;1198;15,22;21580;652;#N/A;#N/A
69094;GRÉZIEU-LA-VARENNE;31/03/2025;278;5929;6094;7,45;27230;3698;2;22
